"journal-article-10.2307_27701989-ngram1.txt","PH.D.s in Sociology, 1969-70 and 1970-71: Recipients, Academic Origins of Recipients, and Dissertation Titles"
"journal-article-10.2307_41485698-ngram1.txt","Examining Community Life \"in the Making\": Emile Durkheim's \"Moral Education\""
"journal-article-10.2307_25799571-ngram1.txt","Reconceptualizing the Study of Community Life: Emile Durkheim's \"Pragmatism and Sociology\""
"journal-article-10.2307_25799550-ngram1.txt","The Polish Peasant in Oberlin and Chicago: The Intellectual Trajectory of W. I. Thomas"
"journal-article-10.2307_27700492-ngram1.txt","Further Reflections on ASR's Greatest Hits"
"journal-article-10.2307_27702330-ngram1.txt","Confidentiality and the Protection of Human Subjects in Social Science Research: A Report on Recent Developments [with Comments and Rejoinders]"
"journal-article-10.2307_27698594-ngram1.txt","Women and the ASA: Degendering Organizational Structures and Processes, 1964-1974"
"journal-article-10.2307_27700431-ngram1.txt","Reflections on Public Sociology: Public Relations, Disciplinary Identity, and the Strong Program in Professional Sociology"
"journal-article-10.2307_27701439-ngram1.txt","Official Reports and Proceedings"
"journal-article-10.2307_41485720-ngram1.txt","What is Really Social Capital? A Critical Review"
"journal-article-10.2307_23319620-ngram1.txt","Sorokin as Lifelong Russian Intellectual: The Enactment of an Historically Rooted Sensibility"
"journal-article-10.2307_27700504-ngram1.txt","Breaking out of Academic Isolation: The Media Odyssey of a Sociologist"
"journal-article-10.2307_27701592-ngram1.txt","Employment Bulletin"
"journal-article-10.2307_27698837-ngram1.txt","The Hispanic Writings of C. Wright Mills: A Study in Social Psychology"
"journal-article-10.2307_27701282-ngram1.txt","Official Reports and Proceedings"
"journal-article-10.2307_27701826-ngram1.txt","Official Reports and Proceedings"
"journal-article-10.2307_27698734-ngram1.txt","Mills at Maryland"
"journal-article-10.2307_27700374-ngram1.txt","When Robert E. Park Was (Re)Writing \"The City\": Biography, the Social Survey, and the Science of Sociology"
"journal-article-10.2307_27700253-ngram1.txt","Reexamining Economic Sociology: Beyond Rational Choice Reductionism"
"journal-article-10.2307_27701694-ngram1.txt","Official Reports and Proceedings"
"journal-article-10.2307_27700251-ngram1.txt","The Cultural Apparatus: C. Wright Mills' Unfinished Work"
"journal-article-10.2307_27701503-ngram1.txt","Written Doctoral Examinations in Sociology at Some Leading Universities"
"journal-article-10.2307_27700376-ngram1.txt","A Canadian Rejoinder: Sociology North and South of the Border"
"journal-article-10.2307_27701469-ngram1.txt","Employment Bulletin"
"journal-article-10.2307_27700448-ngram1.txt","\"It's Not Rocket Science!\": High School Sociology Teachers' Conceptions of Sociology"
"journal-article-10.2307_27700314-ngram1.txt","Ellen Swallow Richards: \"Humanistic Oekologist,\" \"Applied Sociologist,\" and the Founding of Sociology"
"journal-article-10.2307_27702338-ngram1.txt","De-Professionalizing a Part-Time Teaching Faculty: How Many, Feeling Small, Seeming Few, Getting Less, Dream of More [with Comments and Rejoinders]"
"journal-article-10.2307_27700415-ngram1.txt","Is Sociology the Science of the Irrational? Conceptions of Rationality in Sociological Theory"
"journal-article-10.2307_23319611-ngram1.txt","\"Ghosts of Sociologies Past:\" Settlement Sociology in the Progressive Era at the Chicago School of Civics and Philanthropy"
"journal-article-10.2307_27700478-ngram1.txt","On the State of the Economic in Sociology: A Content Analysis"
"journal-article-10.2307_27698775-ngram1.txt","The Smithsonian Institution Exhibition of \"Science in American Life\": Science as It Consists of Normalized Practices"
"journal-article-10.2307_27700345-ngram1.txt","Lipset and \"Working-Class\" Authoritarianism"
"journal-article-10.2307_27698675-ngram1.txt","Struggling with Human Exemptionalism: The Rise, Decline and Revitalization of Environmental Sociology"
